x,y
154875.025260341,509202.620521876
154873.029629441,509205.036676807
154872.025215486,509206.350681445
154870.606311766,509208.035587819
154871.186814232,509211.034498831
154869.025170631,509213.486500745
154868.591781094,509214.033409843
154866.614039756,509217.032320855
154866.025125777,509217.783037313
154863.444643278,509220.031231867
154863.025080922,509220.352549382
154860.025036067,509222.581332691
154859.59646437,509223.030142879
154857.024991212,509224.683681639
154855.369267205,509226.029053891
154854.024946357,509226.897844557
154852.315435096,509229.027964903
154851.024901503,509230.981254629
154850.226862963,509232.026875915
154848.024856648,509234.580237878
154847.214461199,509235.025786927
154845.024811793,509236.493898958
154844.270619692,509238.024697939
154842.780711153,509241.023608951
154842.024766938,509242.174077818
154839.73902326,509244.022519963
154839.024722084,509244.649474194
154837.162769926,509247.021430975
154836.024677229,509249.921083019
154835.895434165,509250.020341987
154833.024632374,509252.098412896
154832.422050561,509253.019252999
154830.024587519,509254.916527276
154828.990258217,509256.018164011
154827.024542664,509258.124332258
154826.343517982,509259.017075023
154824.02449781,509261.530309915
154822.466661831,509262.015986035
154821.024452955,509262.587211392
154818.817893319,509265.014897047
154818.0244081,509266.349583779
154816.787659711,509268.013808059
154815.024363245,509269.448506926
154812.305714547,509271.012719071
154812.02431839,509271.195927558
154809.091793946,509274.011630083
154809.024273536,509274.08628353
154806.024228681,509276.166365803
154804.283835838,509277.010541095
154803.024183826,509277.877638294
154800.326096766,509280.009452107
154800.024138971,509280.261625317
154797.024094117,509282.479025596
154796.563241261,509283.008363119
154794.024049262,509285.967570539
154793.976710231,509286.007274131
154791.024004407,509288.368546028
154789.909010494,509289.006185143
154788.023959552,509290.905969016
154787.051900135,509292.005096155
154785.997300746,509295.004007167
154785.023914697,509295.908071257
154782.911643718,509298.002918179
154782.023869843,509298.684730516
154780.064344857,509301.001829191
154779.28339111,509304.000740203
154779.023824988,509304.221365742
154776.714625497,509306.999651215
154776.023780133,509307.925033949
154773.318155244,509309.998562227
154773.023735278,509310.24381951
154770.076852755,509312.997473239
154770.023690424,509313.06742578
154767.023645569,509315.19543885
154766.129048042,509315.996384251
154764.023600714,509318.640032081
154763.828012834,509318.995295263
154761.652454526,509321.994206275
154761.023555859,509322.561233812
