tide,dates
-0.13379444,2019-04-02 15:45:00+00:00
-0.13050278,2019-04-02 16:00:00+00:00
-0.136725,2019-04-02 16:15:00+00:00
-0.13455833,2019-04-02 16:30:00+00:00
-0.11586389,2019-04-02 16:45:00+00:00
-0.116127774,2019-04-02 17:00:00+00:00
-0.112905554,2019-04-02 17:15:00+00:00
-0.11261389,2019-04-02 17:30:00+00:00
-0.10073889,2019-04-02 17:45:00+00:00
-0.064225,2019-04-02 18:00:00+00:00
-0.042669445,2019-04-02 18:15:00+00:00
-0.055572223,2019-04-02 18:30:00+00:00
-0.09523889,2019-04-02 18:45:00+00:00
-0.12240556,2019-04-02 19:00:00+00:00
-0.1427875,2019-04-02 19:15:00+00:00
-0.1430861,2019-04-02 19:30:00+00:00
-0.13228056,2019-04-02 19:45:00+00:00
-0.12448889,2019-04-02 20:00:00+00:00
-0.1276,2019-04-02 20:15:00+00:00
-0.124641664,2019-04-02 20:30:00+00:00
-0.11946111,2019-04-02 20:45:00+00:00
-0.101169445,2019-04-02 21:00:00+00:00
-0.09735,2019-04-02 21:15:00+00:00
-0.10254444,2019-04-02 21:30:00+00:00
-0.12035,2019-04-02 21:45:00+00:00
-0.126475,2019-04-02 22:00:00+00:00
-0.12337083,2019-04-02 22:15:00+00:00
-0.103197224,2019-04-02 22:30:00+00:00
-0.07215556,2019-04-02 22:45:00+00:00
-0.060822222,2019-04-02 23:00:00+00:00
-0.10079444,2019-04-03 00:15:00+00:00
-0.09486389,2019-04-03 00:30:00+00:00
-0.088225,2019-04-03 00:45:00+00:00
-0.08721111,2019-04-03 01:00:00+00:00
-0.08112778,2019-04-03 01:15:00+00:00
-0.073329166,2019-04-03 01:30:00+00:00
-0.073725,2019-04-03 01:45:00+00:00
-0.082669444,2019-04-03 02:00:00+00:00
-0.09158611,2019-04-03 02:15:00+00:00
-0.103697225,2019-04-03 02:30:00+00:00
-0.11523889,2019-04-03 02:45:00+00:00
-0.106294446,2019-04-03 03:00:00+00:00
-0.10053056,2019-04-03 03:15:00+00:00
-0.09633611,2019-04-03 03:30:00+00:00
-0.09985,2019-04-03 03:45:00+00:00
-0.10525278,2019-04-03 04:00:00+00:00
-0.10582222,2019-04-03 04:15:00+00:00
-0.10184306,2019-04-03 04:30:00+00:00
-0.09639166,2019-04-03 04:45:00+00:00
-0.09932222,2019-04-03 05:00:00+00:00
-0.10014167,2019-04-03 05:15:00+00:00
-0.10053056,2019-04-03 05:30:00+00:00
-0.10729445,2019-04-03 05:45:00+00:00
-0.104155555,2019-04-03 06:00:00+00:00
-0.10378055,2019-04-03 06:15:00+00:00
-0.10479444,2019-04-03 06:30:00+00:00
-0.110808335,2019-04-03 06:45:00+00:00
-0.11511389,2019-04-03 07:00:00+00:00
-0.11627361,2019-04-03 07:15:00+00:00
-0.11669722,2019-04-03 07:30:00+00:00
-0.11428056,2019-04-03 07:45:00+00:00
-0.113405555,2019-04-03 08:00:00+00:00
-0.11658611,2019-04-03 08:15:00+00:00
-0.12004445,2019-04-03 08:30:00+00:00
-0.118877776,2019-04-03 08:45:00+00:00
-0.11512778,2019-04-03 09:00:00+00:00
